node1,node2,reg,MI,CMI,Theta_Sigma,Theta_T,Theta_Tn,Sigma,P,P_T,P_Tn,S
HOXB7,HOXB6,LMX1B,0.6863109245580840,0.3825492643394340,3.428114138472850,3.996979093450530,2.075506003692910,0.2846159335340320,0.001,0.001,0.036,0.5197292630502180
HOXA7,HOXA9,LMX1B,1.112822518526140,0.7951796874550060,5.812554103744180,5.9849799459583500,6.747690110182300,0.351937854357808,0.001,0.001,0.001,0.5207301471242450
HOXB2,HOXB3,BATF3,1.1451867527707100,0.9570190368736620,3.474267513787060,3.638006196238460,2.5657769150359900,0.268804789358119,0.001,0.001,0.012,0.5233861976460730
HOXA5,PBX3,LHX2,0.5275203570932470,0.3379769511863850,3.276311401875930,2.109166716467320,1.0099203680951900,0.2647326973386550,0.001,0.026,0.864,0.5239531152936090
HOXB5,HOXB3,SIX3,0.7702160357690510,0.5847183560237570,4.8604325039768300,4.948632034823270,5.906843865889010,0.2926045291719050,0.001,0.001,0.001,0.5240414108902600
HOXB7,HOXB8,NKX2-3,0.581465905969365,0.2305272892781040,2.8757484244293600,2.1673164967227300,1.738541704607820,0.2786747145733220,0.001,0.022,0.98,0.525360294746368
HOXB2,HOXB3,NKX2-3,1.1451867527707100,0.60456348834051,3.7626114196412700,3.567324613151570,4.400404716753030,0.2804119593426840,0.001,0.001,0.001,0.5263740195858900
HOXB6,HOXB3,KLF5,0.7937088283347760,0.673541340212991,3.2584026879539700,3.732442723902720,1.904859219477150,0.224791911421255,0.001,0.001,0.046,0.527922738076539
HOXB3,HOXB2,CEBPB,1.1451867527707100,0.9491133596967750,3.141840065912840,2.7254741846058800,1.8188256555223200,0.2613414184477050,0.001,0.007,0.049,0.5291292847425470
HOXB5,HOXB1,NR1I2,0.3457434741289070,0.2244984583415960,2.973535187404220,2.84910473871712,1.556710413631430,0.2289589257673500,0.001,0.004,0.075,0.5293162119171000
HOXA2,HOXA7,HOXB8,0.8155154551505330,0.5412432469670740,3.5862542399685100,3.3875853848613700,4.322500635213980,0.2582216419487700,0.001,0.001,0.001,0.5297992437302490
HOXB7,HOXB6,PBX2,0.6863109245580840,0.5162009425251950,3.5381272176174900,2.6985091665910700,0.5251430660681240,0.2803733107761700,0.001,0.01,0.269,0.5299632705840620
HOXA2,HOXA3,ERG,0.9439650419171030,0.8540787539501490,4.896374807311700,4.87801380397208,0.0814481496209921,0.3077919060894600,0.001,0.001,0.485,0.5308264463722050
HOXB2,MEIS1,IRF8,0.4335069789107010,0.4833638335040220,2.882477045138740,2.3763559038876000,3.3048068380235700,0.2920389279242880,0.001,0.014,0.002,0.5313868343687990
HOXA3,HOXA9,HOXA1,1.1386549814171800,0.6057335788962540,3.219021057427960,2.9065739649474300,1.3379346788130800,0.2618130930196550,0.001,0.005,0.104,0.5315233987618600
HOXB2,HOXB6,CUX2,0.716368688180506,0.635183653237657,3.648974856885510,3.618093975705640,1.9227110389383800,0.2817007896658840,0.001,0.002,0.041,0.5319947401878370
HOXB6,HOXB2,FOXI1,0.716368688180506,0.6498895520286950,3.088920146049930,3.050304504931210,3.3882321366008600,0.254256955463838,0.001,0.002,0.002,0.532786285951742
